name,item_type,rarity,requires_attunement,attunement_requirement,description,mechanical_effect,charges,source_campaign,tags
Lantern of Revealing,Wondrous Item,Uncommon,0,,"While lit, this hooded lantern burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot radius and dim light for an additional 30 feet. invisible creatures and objects are visible as long as they are in the lantern's bright light. You can use an action to lower the hood, reducing the light to dim light in a 5-foot radius.",,,,wondrous item;magic-item
"Lantern, Bullseye",Adventuring Gear,Common,0,,"A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",,,,adventuring gear;magic-item
"Lantern, Hooded",Adventuring Gear,Common,0,,"A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.",,,,adventuring gear;magic-item
Lead Coins,Other,Common,0,,Satchel of gold painted lead coins.,,,,other;magic-item
Leather,Armor,Common,0,,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.,,,,armor;magic-item
Leather Ball,Other,Common,0,,A leather ball stuffed with chicken feathers.,,,,other;magic-item
Leatherworker's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Light Crossbow,Simple Ranged,Common,0,,"**Damage:** 1d8  
**Properties:** ammunition (range 80/320), loading, two-handed  
**Cost:** 25 gp",,,,simple ranged;weapon
Light Hammer,Simple Melee,Common,0,,"**Damage:** 1d4  
**Properties:** light, thrown (range 20/60)  
**Cost:** 0.2 gp",,,,simple melee;weapon
Little Riding Hood,Other,Common,0,,"A bright red hooded cape sized for a child, spattered with dried blood.",,,,other;magic-item
Lock,Adventuring Gear,Common,0,,"A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your GM may decide that better locks are available for higher prices.",,,,adventuring gear;magic-item
Longbow,Martial Ranged,Common,0,,"**Damage:** 1d8  
**Properties:** ammunition (range 150/600), heavy, loading, two-handed  
**Cost:** 50 gp",,,,martial ranged;weapon
Longsword,Martial Melee,Common,0,,"**Damage:** 1d8  
**Properties:** versatile (1d10)  
**Cost:** 15 gp",,,,martial melee;weapon
Longsword of Wounding,Martial Melee,Uncommon,1,,"**Damage:** 1d8  
**Properties:** versatile (1d10)  
**Cost:** 2000 gp","Hit points lost to this weapon's damage can be regained only through a short or long rest, rather than by regeneration, magic, or any other means. Once per turn, when you hit a creature with an attack using this magic weapon, you can wound the target. At the start of each of the wounded creature's turns, it takes 1d4 necrotic damage for each time you've wounded it, and it can then make a DC 15 Constitution saving throw, ending the effect of all such wounds on itself on a success. Alternatively, the wounded creature, or a creature within 5 feet of it, can use an action to make a DC 15 Wisdom (Medicine) check, ending the effect of such wounds on it on a success. Requires attunement.",,,martial melee;weapon
Luckstone,Wondrous Item,Uncommon,1,requires attunement,"While this polished agate is on your person, you gain a +1 bonus to ability checks and saving throws.",,,,wondrous item;magic-item
Lute,Tool,Common,0,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",,,,tool;magic-item
Lyre,Tool,Common,0,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",,,,tool;magic-item
Mace,Simple Melee,Common,0,,"**Damage:** 1d6  
**Cost:** 5 gp",,,,simple melee;weapon
Mace of Disruption,Martial Melee,Uncommon,1,,**Cost:** 8000 gp,"When you hit a fiend or an undead with this magic weapon, that creature takes an extra 2d6 radiant damage. If the target has 25 hit points or fewer after taking this damage, it must succeed on a DC 15 Wisdom saving throw or be destroyed. On a successful save, the creature becomes frightened of you until the end of your next turn. While you hold this weapon, it sheds bright light in a 20-foot radius and dim light for an additional 20 feet. Requires attunement.",,,martial melee;weapon
Mace of Smiting,Martial Melee,Uncommon,0,,**Cost:** 7000 gp,"You gain a +1 bonus to attack and damage rolls made with this magic weapon. The bonus increases to +3 when you use the mace to attack a construct. When you roll a 20 on an attack roll made with this weapon, the target takes an extra 2d6 bludgeoning damage, or 4d6 bludgeoning damage if it's a construct. If a construct has 25 hit points or fewer after taking this damage, it is destroyed.",,,martial melee;weapon
Mace of Terror,Martial Melee,Uncommon,1,,**Cost:** 8000 gp,"This magic weapon has 3 charges. While holding it, you can use an action and expend 1 charge to release a wave of terror. Each creature of your choice in a 30-foot radius extending from you must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. While it is frightened in this way, a creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If it has nowhere it can move, the creature can use the Dodge action. At the end of each of its turns, a creature can repeat the saving throw, ending the effect on itself on a success. The mace regains 1d3 expended charges daily at dawn. Requires attunement.",3,,martial melee;weapon
Magnifying Glass,Adventuring Gear,Common,0,,"This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed.",,,,adventuring gear;magic-item
Malice,Poison,Uncommon,0,,A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 1 hour. The poisoned creature is blinded.,,,,poison;magic-item
Manacles,Adventuring Gear,Common,0,,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points.",,,,adventuring gear;magic-item
Mantle of Spell Resistance,Wondrous Item,Rare,1,requires attunement,You have advantage on saving throws against spells while you wear this cloak.,,,,wondrous item;magic-item
Marble Elephant,Wondrous Item,Rare,0,,"A figurine of wondrous power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn’t enough space for the creature, the figurine doesn’t become a creature.

This marble statuette is about 4 inches high and long. It can become an elephant for up to 24 hours. Once it has been used, it can't be used again until 7 days have passed.",,,,wondrous item;magic-item
Marbles,Other,Common,0,,A set of simple marbles,,,,other;magic-item
Marvelous Pigments,Wondrous Item,Very Rare,0,,"Typically found in 1d4 pots inside a fine wooden box with a brush (weighing 1 pound in total), these pigments allow you to create three-dimensional objects by painting them in two dimensions. The paint flows from the brush to form the desired object as you concentrate on its image.",,,,wondrous item;magic-item
Mason's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Maul,Martial Melee,Common,0,,"**Damage:** 2d6  
**Properties:** heavy, two-handed  
**Cost:** 10 gp",,,,martial melee;weapon
Medallion of Thoughts,Wondrous Item,Uncommon,1,requires attunement,"The medallion has 3 charges. While wearing it, you can use an action and expend 1 charge to cast the detect thoughts spell (save DC 13) from it. The medallion regains 1d3 expended charges daily at dawn.",,3,,wondrous item;magic-item
Mess Kit,Adventuring Gear,Common,0,,"This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl.",,,,adventuring gear;magic-item
Midnight Tears,Poison,Rare,0,,"A creature that ingests this poison suffers no effect until the stroke of midnight. If the poison has not been neutralized before then, the creature must succeed on a DC 17 Constitution saving throw, taking 31 (9d6) poison damage on a failed save, or half as much damage on a successful one.",,,,poison;magic-item
"Mirror, Steel",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Morningstar,Martial Melee,Common,0,,"**Damage:** 1d8  
**Cost:** 15 gp",,,,martial melee;weapon
Navigator's tools,Tool,Common,0,,"This set of instruments is used for navigation at sea. Proficiency with navigator's tools lets you chart a ship's course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea.",,,,tool;magic-item
Necklace of Adaptation,Wondrous Item,Uncommon,1,requires attunement,"While wearing this necklace, you can breathe normally in any environment, and you have advantage on saving throws made against harmful gases and vapors (such as cloudkill and stinking cloud effects, inhaled poisons, and the breath weapons of some dragons).",,,,wondrous item;magic-item
Necklace of Fireballs,Wondrous Item,Rare,0,,"This necklace has 1d6 + 3 beads hanging from it. You can use an action to detach a bead and throw it up to 60 feet away. When it reaches the end of its trajectory, the bead detonates as a 3rd-level fireball spell (save DC 15). You can hurl multiple beads, or even the whole necklace, as one action. When you do so, increase the level of the fireball by 1 for each bead beyond the first.",,,,wondrous item;magic-item
Net,Martial Ranged,Common,0,,"**Properties:** special, thrown (range 5/15)  
**Cost:** 1 gp","A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net.

When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make.",,,martial ranged;weapon
Nine Lives Stealer,Martial Melee,Rare,1,,**Cost:** 8000 gp,"You gain a +2 bonus to attack and damage rolls made with this magic weapon. The sword has 1d8 + 1 charges. If you score a critical hit against a creature that has fewer than 100 hit points, it must succeed on a DC 15 Constitution saving throw or be slain instantly as the sword tears its life force from its body (a construct or an undead is immune). The sword loses 1 charge if the creature is slain. When the sword has no charges remaining, it loses this property. Requires attunement.",,,martial melee;weapon
Oathbow,Martial Ranged,Rare,1,,"**Damage:** 1d8  
**Properties:** ammunition (range 150/600), heavy, loading, two-handed  
**Cost:** 3500 gp","When you nock an arrow on this bow, it whispers in Elvish, ""Swift defeat to my enemies."" When you use this weapon to make a ranged attack, you can, as a command phrase, say, ""Swift death to you who have wronged me."" The target of your attack becomes your sworn enemy until it dies or until dawn seven days later. You can have only one such sworn enemy at a time. When your sworn enemy dies, you can choose a new one after the next dawn. 

When you make a ranged attack roll with this weapon against your sworn enemy, you have advantage on the roll. In addition, your target gains no benefit from cover, other than total cover, and you suffer no disadvantage due to long range. If the attack hits, your sworn enemy takes an extra 3d6 piercing damage. 

 While your sworn enemy lives, you have disadvantage on attack rolls with all other weapons. 

 Proficiency with a longbow allows you to add your proficiency bonus to the attack roll for any attack you make with it. Requires attunement.",,,martial ranged;weapon
Obsidian Steed,Wondrous Item,Very Rare,0,,"A figurine of wondrous power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn’t enough space for the creature, the figurine doesn’t become a creature.

This polished obsidian horse can become a nightmare for up to 24 hours. The nightmare fights only to defend itself. Once it has been used, it can't be used again until 5 days have passed.",,,,wondrous item;magic-item
Oil (flask),Adventuring Gear,Common,0,,"Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.",,,,adventuring gear;magic-item
Oil of Etherealness,Potion,Rare,0,,"Beads of this cloudy gray oil form on the outside of its container and quickly evaporate. The oil can cover a Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the etherealness spell for 1 hour.",,,,potion;magic-item
Oil of Sharpness,Potion,Very Rare,0,,"This clear, gelatinous oil sparkles with tiny, ultrathin silver shards. The oil can coat one slashing or piercing weapon or up to 5 pieces of slashing or piercing ammunition. Applying the oil takes 1 minute. For 1 hour, the coated item is magical and has a +3 bonus to attack and damage rolls.",,,,potion;magic-item
Oil of Slipperiness,Potion,Uncommon,0,,"This sticky black unguent is thick and heavy in the container, but it flows quickly when poured. The oil can cover a Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of a freedom of movement spell for 8 hours.
Alternatively, the oil can be poured on the ground as an action, where it covers a 10-foot square, duplicating the effect of the grease spell in that area for 8 hours.",,,,potion;magic-item
Oil of Taggit,Poison,Uncommon,0,,A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or become poisoned for 24 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage.,,,,poison;magic-item
Old Hat,Other,Common,0,,A ragged old hat with a moth eaten brim.,,,,other;magic-item
Old Pouch,Other,Common,0,,"An old pouch. Works as any pouch might, but it has a hole in it.",,,,other;magic-item
Old Round Shield,Other,Common,0,,Father’s old round shield.,,,,other;magic-item
Onyx Dog,Wondrous Item,Rare,0,,"A figurine of wondrous power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn’t enough space for the creature, the figurine doesn’t become a creature.

This onyx statuette of a dog can become a mastiff for up to 6 hours. The mastiff has an Intelligence of 8 and can speak Common. It also has darkvision out to a range of 60 feet and can see invisible creatures and objects within that range. Once it has been used, it can't be used again until 7 days have passed.",,,,wondrous item;magic-item
Padded,Armor,Common,0,,Padded armor consists of quilted layers of cloth and batting.,,,,armor;magic-item
Painter's supplies,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Pale Tincture,Poison,Uncommon,0,,"A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or take 3 (1d6) poison damage and become poisoned. The poisoned creature must repeat the saving throw every 24 hours, taking 3 (1d6) poison damage on a failed save. Until this poison ends, the damage the poison deals can’t be healed by any means. After seven successful saving throws, the effect ends and the creature can heal normally.",,,,poison;magic-item
Pan flute,Tool,Common,0,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",,,,tool;magic-item
Paper (one sheet),Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Parchment,Other,Common,0,,A spare bit of parchment.,,,,other;magic-item
Parchment (one sheet),Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Pearl of Power,Wondrous Item,Uncommon,1,requires attunement by a spellcaster,"While this pearl is on your person, you can use an action to speak its command word and regain one expended spell slot. If the expended slot was of 4th level or higher, the new slot is 3rd level. Once you use the pearl, it can't be used again until the next dawn.",,,,wondrous item;magic-item
Perfume (vial),Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Periapt of Health,Wondrous Item,Uncommon,0,,"You are immune to contracting any disease while you wear this pendant. If you are already infected with a disease, the effects of the disease are suppressed you while you wear the pendant.",,,,wondrous item;magic-item
Periapt of Proof Against Poison,Wondrous Item,Rare,0,,"This delicate silver chain has a brilliant-cut black gem pendant. While you wear it, poisons have no effect on you. You are immune to the poisoned condition and have immunity to poison damage.",,,,wondrous item;magic-item
Periapt of Wound Closure,Wondrous Item,Uncommon,1,requires attunement,"While you wear this pendant, you stabilize whenever you are dying at the start of your turn. In addition, whenever you roll a Hit Die to regain hit points, double the number of hit points it restores.",,,,wondrous item;magic-item
Philter of Love,Potion,Uncommon,0,,"The next time you see a creature within 10 minutes after drinking this philter, you become charmed by that creature for 1 hour. If the creature is of a species and gender you are normally attracted to, you regard it as your true love while you are charmed. This potion's rose-hued, effervescent liquid contains one easy-to-miss bubble shaped like a heart.",,,,potion;magic-item
"Pick, Miner's",Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Pike,Martial Melee,Common,0,,"**Damage:** 1d10  
**Properties:** heavy, reach, two-handed  
**Cost:** 5 gp",,,,martial melee;weapon
Pile of Coal,Other,Common,0,,A pile of coal.,,,,other;magic-item
Pipes of Haunting,Wondrous Item,Uncommon,0,,"You must be proficient with wind instruments to use these pipes. They have 3 charges. You can use an action to play them and expend 1 charge to create an eerie, spellbinding tune. Each creature within 30 feet of you that hears you play must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. If you wish, all creatures in the area that aren't hostile toward you automatically succeed on the saving throw. A creature that fails the saving throw can repeat it at the end of each of its turns, ending the effect on itself on a success. A creature that succeeds on its saving throw is immune to the effect of these pipes for 24 hours. The pipes regain 1d3 expended charges daily at dawn.",,,,wondrous item;magic-item
Pipes of the Sewers,Wondrous Item,Uncommon,1,requires attunement,"You must be proficient with wind instruments to use these pipes. While you are attuned to the pipes, ordinary rats and giant rats are indifferent toward you and will not attack you unless you threaten or harm them.",,,,wondrous item;magic-item
Pitcher,Adventuring Gear,Common,0,,Capacity: 1 gallon liquid,,,,adventuring gear;magic-item
Piton,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Plate,Armor,Rare,0,,"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.",,,,armor;magic-item
Plate Armor of Etherealness,Armor,Legendary,1,requires attunement,"While you're wearing this armor, you can speak its command word as an action to gain the effect of the etherealness spell, which last for 10 minutes or until you remove the armor or use an action to speak the command word again. This property of the armor can't be used again until the next dawn.",,,,armor;magic-item
Plate Armor of Invulnerability,Armor,Legendary,1,requires attunement,"You have resistance to nonmagical damage while you wear this armor. Additionally, you can use an action to make yourself immune to nonmagical damage for 10 minutes or until you are no longer wearing the armor. Once this special action is used, it can't be used again until the next dawn.",,,,armor;magic-item
Playing card set,Tool,Common,0,,"If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.",,,,tool;magic-item
"Poison, Basic (vial)",Adventuring Gear,Common,0,,"You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.",,,,adventuring gear;magic-item
Poisoner's kit,Tool,Common,0,,"A poisoner's kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons.",,,,tool;magic-item
Pole (10-foot),Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Portable Hole,Wondrous Item,Rare,0,,"This fine black cloth, soft as silk, is folded up to the dimensions of a handkerchief. It unfolds into a circular sheet 6 feet in diameter. 

 You can use an action to unfold a portable hole and place it on or against a solid surface, whereupon the portable hole creates an extradimensional hole 10 feet deep. The cylindrical space within the hole exists on a different plane, so it can't be used to create open passages. Any creature inside an open portable hole can exit the hole by climbing out of it. 

 You can use an action to close a portable hole by taking hold of the edges of the cloth and folding it up. Folding the cloth closes the hole, and any creatures or Objects within remain in the extradimensional space. No matter what's in it, the hole weighs next to nothing. 

 If the hole is folded up, a creature within the hole's extradimensional space can use an action to make a DC 10 Strength check. On a successful check, the creature forces its way out and appears within 5 feet of the portable hole or the creature carrying it. A breathing creature within a closed portable hole can survive for up to 10 minutes, after which time it begins to suffocate. 

 Placing a portable hole inside an extradimensional space created by a Bag of Holding, Handy Haversack, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within 10 feet of the gate is sucked through it and deposited in a random location on the Astral Plane. The gate then closes. The gate is one-way only and can't be reopened.",,,,wondrous item;magic-item
"Pot, Iron",Adventuring Gear,Common,0,,Capacity: 1 gallon liquid,,,,adventuring gear;magic-item
Potion of Animal Friendship,Potion,Uncommon,0,,"When you drink this potion, you can cast the animal friendship spell (save DC 13) for 1 hour at will. Agitating this muddy liquid brings little bits into view: a fish scale, a hummingbird tongue, a cat claw, or a squirrel hair.",,,,potion;magic-item
Potion of Clairvoyance,Potion,Rare,0,,"When you drink this potion, you gain the effect of the clairvoyance spell. An eyeball bobs in this yellowish liquid but vanishes when the potion is opened.",,,,potion;magic-item
Potion of Climbing,Potion,Common,0,,"When you drink this potion, you gain a climbing speed equal to your walking speed for 1 hour. During this time, you have advantage on Strength (Athletics) checks you make to climb. The potion is separated into brown, silver, and gray layers resembling bands of stone. Shaking the bottle fails to mix the colors.",,,,potion;magic-item
Potion of Diminution,Potion,Rare,0,,"When you drink this potion, you gain the ""reduce"" effect of the enlarge/reduce spell for 1d4 hours (no concentration required). The red in the potion's liquid continuously contracts to a tiny bead and then expands to color the clear liquid around it. Shaking the bottle fails to interrupt this process.",,,,potion;magic-item
Potion of Flying,Potion,Very Rare,0,,"When you drink this potion, you gain a flying speed equal to your walking speed for 1 hour and can hover. If you're in the air when the potion wears off, you fall unless you have some other means of staying aloft. This potion's clear liquid floats at the top of its container and has cloudy white impurities drifting in it.",,,,potion;magic-item
Potion of Gaseous Form,Potion,Rare,0,,"When you drink this potion, you gain the effect of the gaseous form spell for 1 hour (no concentration required) or until you end the effect as a bonus action. This potion's container seems to hold fog that moves and pours like water.",,,,potion;magic-item
Potion of Greater Healing,Potion,Uncommon,0,,You regain 4d4 + 4 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,,,,potion;magic-item
Potion of Growth,Potion,Uncommon,0,,"When you drink this potion, you gain the ""enlarge"" effect of the enlarge/reduce spell for 1d4 hours (no concentration required). The red in the potion's liquid continuously expands from a tiny bead to color the clear liquid around it and then contracts. Shaking the bottle fails to interrupt this process.",,,,potion;magic-item
Potion of Healing,Potion,Common,0,,You regain 2d4 + 2 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,,,,potion;magic-item
Potion of Heroism,Potion,Rare,0,,"For 1 hour after drinking it, you gain 10 temporary hit points that last for 1 hour. For the same duration, you are under the effect of the bless spell (no concentration required). This blue potion bubbles and steams as if boiling.",,,,potion;magic-item
Potion of Invisibility,Potion,Very Rare,0,,"This potion's container looks empty but feels as though it holds liquid. When you drink it, you become invisible for 1 hour. Anything you wear or carry is invisible with you. The effect ends early if you attack or cast a spell.",,,,potion;magic-item
Potion of Mind Reading,Potion,Rare,0,,"When you drink this potion, you gain the effect of the detect thoughts spell (save DC 13). The potion's dense, purple liquid has an ovoid cloud of pink floating in it.",,,,potion;magic-item
Potion of Poison,Potion,Uncommon,0,,"This concoction looks, smells, and tastes like a potion of healing or other beneficial potion. However, it is actually poison masked by illusion magic. An identify spell reveals its true nature.",,,,potion;magic-item
Potion of Resistance,Potion,Uncommon,0,,"When you drink this potion, you gain resistance to one type of damage for 1 hour. The GM chooses the type or determines it randomly from the options below.d10Damage Typed10Damage Type
1Acid6Necrotic
2Cold7Poison
3Fire8Psychic
4Force9Radiant
5Lightning10Thunder",,,,potion;magic-item
Potion of Speed,Potion,Very Rare,0,,"When you drink this potion, you gain the effect of the haste spell for 1 minute (no concentration required). The potion's yellow fluid is streaked with black and swirls on its own.",,,,potion;magic-item
Potion of Superior Healing,Potion,Rare,0,,You regain 8d4 + 8 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,,,,potion;magic-item
Potion of Supreme Healing,Potion,Very Rare,0,,You regain 10d4 + 20 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,,,,potion;magic-item
Potion of Vitality,Potion,Very Rare,0,,"When you drink this potion, it removes any exhaustion you are suffering and cures any disease or poison affecting you. For the next 24 hours, you regain the maximum number of hit points for any Hit Die you spend. The potion's crimson liquid regularly pulses with dull light, calling to mind a heartbeat.",,,,potion;magic-item
Potion of Water Breathing,Potion,Uncommon,0,,You can breathe underwater for 1 hour after drinking this potion. Its cloudy green fluid smells of the sea and has a jellyfish-like bubble floating in it.,,,,potion;magic-item
Potpourri,Other,Common,0,,A fragrant bowl of potpourri.,,,,other;magic-item
Potter's tools,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Pouch,Adventuring Gear,Common,0,,"Capacity: 1/5 cubic foot/6 pounds of gear. A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch (described earlier in this section).",,,,adventuring gear;magic-item
Purple Worm Poison,Poison,Rare,0,,"This poison must be harvested from a dead or incapacitated purple worm. A creature subjected to this poison must make a DC 19 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one.",,,,poison;magic-item
Quarterstaff,Simple Melee,Common,0,,"**Damage:** 1d6  
**Properties:** versatile (1d8)  
**Cost:** 0.2 gp",,,,simple melee;weapon
Quiver,Adventuring Gear,Common,0,,A quiver can hold up to 20 arrows.,,,,adventuring gear;magic-item
Raisins,Other,Common,0,,½ tin of raisins.,,,,other;magic-item
"Ram, Portable",Adventuring Gear,Common,0,,"You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check.",,,,adventuring gear;magic-item
Rapier,Martial Melee,Common,0,,"**Damage:** 1d8  
**Properties:** finesse  
**Cost:** 25 gp",,,,martial melee;weapon
Rations (1 day),Adventuring Gear,Common,0,,"Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts.",,,,adventuring gear;magic-item
Ring Mail,Armor,Common,0,,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.",,,,armor;magic-item
Ring of Air Elemental Command,Wondrous Item,Legendary,1,requires attunement,"This ring is linked to one of the four Elemental Planes. The GM chooses or randomly determines the linked plane.

While wearing this ring, you have advantage on attack rolls against the elementals, and they have disadvantage on attack rolls against you. In addition, you have access to properties based on the Elemental Plane.

The ring has 5 charges. It regains 1d4 + 1 expended charges daily at dawn. Spells cast from the ring have a save DC of 17.

You can expend 2 of the ring's charges to cast dominate monster on an air elemental. In addition, when you fall, you descend 60 feet per round and take no damage from falling. You can also speak and understand Auran.
If you help slay an air elemental while attuned to the ring, you gain access to the following additional properties:  You have resistance to lightning damage.
 You have a flying speed equal to your walking speed and can hover.
 You can cast the following spells from the ring, expending the necessary number of charges: chain lightning (3 charges), gust of wind (2 charges), or wind wall (1 charge).",,5,,wondrous item;magic-item
Ring of Animal Influence,Wondrous Item,Rare,0,,"This ring has 3 charges, and it regains 1d3 expended charges daily at dawn. While wearing the ring, you can use an action to expend 1 of its charges to cast one of the following spells:Animal friendship (save DC 13)
Fear (save DC 13), targeting only beasts that have an Intelligence of 3 or lower
Speak with animals",,3,,wondrous item;magic-item
